	model	age_pair	years	acc	diff	expected	unexpected	macrodiff
60	distilbert/distilgpt2	31-40 vs 41-50	0	0.22547169811320755	-0.00022162767287776982	0.03725418595988861	0.037475813632766385	-0.00022162767287777635
61	distilbert/distilgpt2	31-40 vs 41-50	1	0.1632075471698113	-0.0006809418580641276	0.04005935810646104	0.04074029996452517	-0.000680941858064131
62	distilbert/distilgpt2	31-40 vs 41-50	10	0.17830188679245282	-0.0008035761084286506	0.06976738936878676	0.07057096547721542	-0.0008035761084286552
63	distilbert/distilgpt2	31-40 vs 41-50	5	0.20660377358490567	-0.00032100432762392414	0.05783824299897598	0.05815924732659991	-0.0003210043276239277
64	distilbert/distilgpt2	31-40 vs 51-60	0	0.006603773584905661	-0.0033452211010937456	0.03725418595988861	0.040599407060982355	-0.003345221101093747
65	distilbert/distilgpt2	31-40 vs 51-60	1	0.0037735849056603774	-0.004823020248626708	0.04005935810646104	0.044882378355087744	-0.004823020248626707
66	distilbert/distilgpt2	31-40 vs 51-60	10	0.005660377358490566	-0.00423355314728982	0.06976738936878676	0.07400094251607658	-0.00423355314728982
67	distilbert/distilgpt2	31-40 vs 51-60	5	0.010377358490566037	-0.004189860464700736	0.05783824299897598	0.06202810346367672	-0.00418986046470074
68	distilbert/distilgpt2	31-40 vs 71+	0	0.5188679245283019	0.012634913296928039	0.03725418595988861	0.024619272662960573	0.012634913296928035
69	distilbert/distilgpt2	31-40 vs 71+	1	0.5311320754716982	0.011511176218456444	0.04005935810646104	0.028548181888004596	0.011511176218456442
70	distilbert/distilgpt2	31-40 vs 71+	10	0.5216981132075472	0.01160644747280949	0.06976738936878676	0.05816094189597728	0.011606447472809485
71	distilbert/distilgpt2	31-40 vs 71+	5	0.5283018867924528	0.013423124899457982	0.05783824299897598	0.044415118099518	0.013423124899457982
72	distilbert/distilgpt2	41-50 vs 15-17	0	0.19811320754716982	0.0005886077418492935	0.037475813632766385	0.03688720589091709	0.0005886077418492952
73	distilbert/distilgpt2	41-50 vs 15-17	1	0.20849056603773586	0.0006347675662724772	0.04074029996452517	0.040105532398252694	0.0006347675662724747
74	distilbert/distilgpt2	41-50 vs 15-17	10	0.3113207547169811	0.0022036811659955887	0.07057096547721542	0.06836728431121981	0.002203681165995605
75	distilbert/distilgpt2	41-50 vs 15-17	5	0.2622641509433962	0.0021930313960906375	0.05815924732659991	0.055966215930509274	0.0021930313960906375
76	distilbert/distilgpt2	41-50 vs 51-60	0	0.002830188679245283	-0.003123593428215976	0.037475813632766385	0.040599407060982355	-0.0031235934282159705
77	distilbert/distilgpt2	41-50 vs 51-60	1	0.0	-0.00414207839056258	0.04074029996452517	0.044882378355087744	-0.004142078390562576
78	distilbert/distilgpt2	41-50 vs 51-60	10	0.0	-0.0034299770388611698	0.07057096547721542	0.07400094251607658	-0.003429977038861165
79	distilbert/distilgpt2	41-50 vs 51-60	5	0.0	-0.0038688561370768125	0.05815924732659991	0.06202810346367672	-0.003868856137076812
80	distilbert/distilgpt2	41-50 vs 71+	0	0.5188679245283019	0.01285654096980581	0.037475813632766385	0.024619272662960573	0.012856540969805812
81	distilbert/distilgpt2	41-50 vs 71+	1	0.5311320754716982	0.01219211807652057	0.04074029996452517	0.028548181888004596	0.012192118076520573
82	distilbert/distilgpt2	41-50 vs 71+	10	0.5216981132075472	0.012410023581238142	0.07057096547721542	0.05816094189597728	0.01241002358123814
83	distilbert/distilgpt2	41-50 vs 71+	5	0.5283018867924528	0.013744129227081906	0.05815924732659991	0.044415118099518	0.01374412922708191
84	distilbert/distilgpt2	51-60 vs 71+	0	0.5188679245283019	0.015980134398021786	0.040599407060982355	0.024619272662960573	0.015980134398021782
