	model	years	severity	acc	diff	expected	unexpected	macrodiff
49	HuggingFaceTB/SmolLM2-135M	2	M7	0.3586206896551724	-0.00196715841301472	0.08547462600221051	0.08744178441522522	-0.0019671584130147163
50	HuggingFaceTB/SmolLM2-135M	2	M8	0.4114942528735632	-0.0015478223355802712	0.11616623726226144	0.11771405959784172	-0.0015478223355802762
51	HuggingFaceTB/SmolLM2-135M	2	M9	0.3782608695652174	-0.0021940092483735325	0.10104031516797393	0.10323432441634746	-0.002194009248373527
52	HuggingFaceTB/SmolLM2-135M	7	D1	0.2	-0.004379337897262313	0.0868529966660086	0.09123233456327091	-0.004379337897262317
53	HuggingFaceTB/SmolLM2-135M	7	D2	0.32	-0.002652323802030879	0.08648023029418252	0.08913255409621339	-0.0026523238020308704
54	HuggingFaceTB/SmolLM2-135M	7	D3	0.3	-0.0038129936223640476	0.08614610972474561	0.08995910334710966	-0.00381299362236405
55	HuggingFaceTB/SmolLM2-135M	7	D4	0.28	-0.0038869188698299716	0.0951861518956866	0.09907307076551657	-0.003886918869829961
56	HuggingFaceTB/SmolLM2-135M	7	M1	0.32	-0.0035486078541725804	0.11584234205540266	0.11939094990957524	-0.003548607854172589
57	HuggingFaceTB/SmolLM2-135M	7	M2	0.3333333333333333	-0.0030931472584294693	0.11289955915417518	0.11599270641260466	-0.0030931472584294767
58	HuggingFaceTB/SmolLM2-135M	7	M3	0.35555555555555557	-0.002613542799331809	0.08500071497166771	0.08761425777099952	-0.0026135427993318056
59	HuggingFaceTB/SmolLM2-135M	7	M4	0.36666666666666664	-0.003852712925648433	0.07104494707749226	0.0748976600031407	-0.003852712925648441
60	HuggingFaceTB/SmolLM2-135M	7	M5	0.37142857142857144	-0.002102533148865318	0.09497790520650766	0.09708043835537299	-0.0021025331488653265
61	HuggingFaceTB/SmolLM2-135M	7	M6	0.30714285714285716	-0.0020503963398823583	0.07859517360770946	0.08064556994759182	-0.0020503963398823682
62	HuggingFaceTB/SmolLM2-135M	7	M7	0.3586206896551724	-0.00196715841301472	0.08547462600221051	0.08744178441522522	-0.0019671584130147163
63	HuggingFaceTB/SmolLM2-135M	7	M8	0.4114942528735632	-0.0015478223355802712	0.11616623726226144	0.11771405959784172	-0.0015478223355802762
64	HuggingFaceTB/SmolLM2-135M	7	M9	0.3782608695652174	-0.0021940092483735325	0.10104031516797393	0.10323432441634746	-0.002194009248373527
65	distilbert-base-uncased	0	D1	0.2	-0.0032274105416339183	0.17127488467279664	0.17450229521443056	-0.0032274105416339183
66	distilbert-base-uncased	0	D2	0.36	-0.0012294256759923915	0.20251370359736026	0.20374312927335264	-0.0012294256759923794
67	distilbert-base-uncased	0	D3	0.425	-0.0015016820902019321	0.2233387157288234	0.22484039781902534	-0.0015016820902019334
68	distilbert-base-uncased	0	D4	0.4	-0.0004410805241786775	0.1977789415506413	0.19822002207481998	-0.00044108052417868304
69	distilbert-base-uncased	0	M1	0.48	-0.0005942444957327244	0.19576817708089944	0.19636242157663214	-0.0005942444957326987
70	distilbert-base-uncased	0	M2	0.5	-0.001471634964885488	0.20216878892388193	0.20364042388876738	-0.0014716349648854488
71	distilbert-base-uncased	0	M3	0.5555555555555556	-0.001892289680997934	0.2554373024924037	0.2573295921734016	-0.0018922896809979162
72	distilbert-base-uncased	0	M4	0.5	-0.003034145223985728	0.24944174822400475	0.2524758934479905	-0.0030341452239857347
73	distilbert-base-uncased	0	M5	0.45714285714285713	-0.002520610777667436	0.1988550542589759	0.20137566503664334	-0.002520610777667437
74	distilbert-base-uncased	0	M6	0.5142857142857142	-0.0024610006358540917	0.22545898872776884	0.22791998936362295	-0.0024610006358541103
75	distilbert-base-uncased	0	M7	0.4857142857142857	-0.00024270089488708999	0.19376245309571716	0.19400515399060422	-0.0002427008948870657
76	distilbert-base-uncased	0	M8	0.4255813953488372	-0.0018036208122963232	0.20365331891339017	0.2054569397256865	-0.0018036208122963193
77	distilbert-base-uncased	0	M9	0.55	-0.0002818310082875469	0.2123060274477393	0.21258785845602685	-0.0002818310082875475
78	distilbert-base-uncased	100	D1	0.26666666666666666	-0.0013622918466959647	0.12748770807035417	0.12884999991705015	-0.0013622918466959788
79	distilbert-base-uncased	100	D2	0.56	0.0014023249901947688	0.17058850640052692	0.16918618141033215	0.0014023249901947699
80	distilbert-base-uncased	100	D3	0.575	0.0010087917353303066	0.177013234950391	0.1760044432150607	0.0010087917353303055
81	distilbert-base-uncased	100	D4	0.52	0.0008113552563008959	0.1630845000906265	0.16227314483432562	0.000811355256300883
82	distilbert-base-uncased	100	M1	0.52	0.0009713562054093894	0.1711333198213833	0.1701619636159739	0.0009713562054093905
83	distilbert-base-uncased	100	M2	0.4	-0.0002907513461347318	0.19472295102605128	0.19501370237218602	-0.00029075134613473774
84	distilbert-base-uncased	100	M3	0.5555555555555556	0.00021183983626542707	0.2306364430054802	0.23042460316921476	0.00021183983626543723
85	distilbert-base-uncased	100	M4	0.6333333333333333	0.0003864059246552744	0.19870842870004704	0.1983220227753918	0.0003864059246552476
86	distilbert-base-uncased	100	M5	0.44761904761904764	-0.000592009856197925	0.17686664662902501	0.17745865648522294	-0.0005920098561979226
87	distilbert-base-uncased	100	M6	0.5285714285714286	-2.994244813245229e-05	0.20258614936174124	0.2026160918098737	-2.9942448132452837e-05
88	distilbert-base-uncased	100	M7	0.5642857142857143	0.0016077024346616655	0.18405981590003645	0.1824521134653748	0.0016077024346616564
89	distilbert-base-uncased	100	M8	0.5093023255813953	0.000538827359500724	0.18924459050194428	0.18870576314244356	0.0005388273595007265
90	distilbert-base-uncased	100	M9	0.665	0.0020770296518458067	0.20358080563291875	0.20150377598107294	0.0020770296518458076
91	distilbert-base-uncased	15	D1	0.3333333333333333	-0.001405955043931805	0.09296330333503036	0.09436925837896216	-0.001405955043931803
