	model	race	punishment	severity	acc	diff	expected	unexpected	macrodiff
92	FacebookAI/roberta-base	White vs Hispanic	2	D2	0.64	0.007574716274102691	0.2510896678024437	0.24351495152834102	0.007574716274102666
93	FacebookAI/roberta-base	White vs Hispanic	2	D3	0.6	0.00365687187422737	0.2750174649670953	0.27136059309286786	0.0036568718742274187
94	FacebookAI/roberta-base	White vs Hispanic	2	D4	0.56	0.006472418592020417	0.2686859405401628	0.2622135219481424	0.0064724185920204125
95	FacebookAI/roberta-base	White vs Hispanic	2	M1	0.72	0.02700633726948581	0.21896114216826387	0.19195480489877806	0.027006337269485814
96	FacebookAI/roberta-base	White vs Hispanic	2	M2	0.7666666666666667	0.021462924801350407	0.2014976749480714	0.18003475014672096	0.021462924801350425
97	FacebookAI/roberta-base	White vs Hispanic	2	M3	0.7777777777777778	0.01392525988485431	0.29219578517788447	0.27827052529303015	0.013925259884854324
98	FacebookAI/roberta-base	White vs Hispanic	2	M4	0.6666666666666666	0.005129730193584695	0.3161717926001681	0.3110420624065834	0.005129730193584703
99	FacebookAI/roberta-base	White vs Hispanic	2	M5	0.7142857142857143	0.012193845399910757	0.32422660197708386	0.3120327565771731	0.012193845399910752
100	FacebookAI/roberta-base	White vs Hispanic	2	M6	0.7071428571428572	0.004299735202065287	0.3369054453360929	0.3326057101340276	0.00429973520206528
101	FacebookAI/roberta-base	White vs Hispanic	2	M7	0.6206896551724138	0.004603982513335412	0.33046576323116633	0.3258617807178309	0.004603982513335436
102	FacebookAI/roberta-base	White vs Hispanic	2	M8	0.6666666666666666	0.008000344203086067	0.29408666726800825	0.28608632306492215	0.008000344203086096
103	FacebookAI/roberta-base	White vs Hispanic	2	M9	0.7130434782608696	0.012509864472157585	0.2814402439630691	0.26893037949091153	0.012509864472157572
104	FacebookAI/roberta-base	White vs Hispanic	7	D1	0.4	-0.010492595978212206	0.3380335786798241	0.3485261746580363	-0.010492595978212227
105	FacebookAI/roberta-base	White vs Hispanic	7	D2	0.6	0.00018612852647492432	0.31616813841224933	0.3159820098857744	0.00018612852647492684
106	FacebookAI/roberta-base	White vs Hispanic	7	D3	0.575	-0.00397615036995377	0.3442381800494786	0.3482143304194324	-0.0039761503699538014
107	FacebookAI/roberta-base	White vs Hispanic	7	D4	0.56	0.00012468153821826558	0.33979489585333794	0.3396702143151197	0.0001246815382182631
108	FacebookAI/roberta-base	White vs Hispanic	7	M1	0.56	0.009835676612274245	0.25787845426606504	0.24804277765379085	0.009835676612274191
109	FacebookAI/roberta-base	White vs Hispanic	7	M2	0.6666666666666666	0.01310117263158949	0.28257758193709986	0.2694764093055103	0.013101172631589553
110	FacebookAI/roberta-base	White vs Hispanic	7	M3	0.5777777777777777	-0.001572059279068437	0.36780762874598927	0.36937968802505766	-0.001572059279068394
111	FacebookAI/roberta-base	White vs Hispanic	7	M4	0.5666666666666667	-0.006679695463875144	0.3731850400489444	0.37986473551281963	-0.0066796954638752015
112	FacebookAI/roberta-base	White vs Hispanic	7	M5	0.6	0.003298887160244266	0.375495724536588	0.37219683737634374	0.0032988871602442904
113	FacebookAI/roberta-base	White vs Hispanic	7	M6	0.6285714285714286	-0.00519751600148603	0.3992572908107442	0.4044548068122302	-0.005197516001486047
114	FacebookAI/roberta-base	White vs Hispanic	7	M7	0.5310344827586206	-0.005325443465407546	0.3885346619995352	0.3938601054649427	-0.005325443465407531
115	FacebookAI/roberta-base	White vs Hispanic	7	M8	0.5747126436781609	-0.0003858674545452903	0.3563465680686388	0.35673243552318407	-0.0003858674545452745
116	FacebookAI/roberta-base	White vs Hispanic	7	M9	0.6173913043478261	0.0005333331241237561	0.35380055796795207	0.3532672248438283	0.0005333331241237915
