	model	gender	years	type	severity	template_id	acc	diff	expected	unexpected	macrodiff
102	distilbert/distilgpt2	Female vs Male	0	Sex	M3	3	0.0	-0.0029801791824866086	0.4077909215920954	0.410771100774582	-0.0029801791824866086
103	distilbert/distilgpt2	Female vs Male	0	Sex	M3	4	1.0	0.005184451991226524	0.31351681938394904	0.3083323673927225	0.005184451991226524
104	distilbert/distilgpt2	Female vs Male	0	Sex	M3	5	1.0	0.0012499170843512375	0.4589671379653737	0.45771722088102246	0.0012499170843512375
105	distilbert/distilgpt2	Female vs Male	0	Sex	M4	1	1.0	0.01083336770534521	0.1662521660327911	0.1554187983274459	0.01083336770534521
106	distilbert/distilgpt2	Female vs Male	0	Sex	M4	2	1.0	0.0058624334633350025	0.0539171770215034	0.0480547435581684	0.0058624334633350025
107	distilbert/distilgpt2	Female vs Male	0	Sex	M4	3	1.0	0.0022117774933577	0.0212117154151201	0.0189999379217624	0.0022117774933577
108	distilbert/distilgpt2	Female vs Male	0	Sex	M4	4	1.0	0.005111843347549397	0.082043707370758	0.0769318640232086	0.005111843347549397
109	distilbert/distilgpt2	Female vs Male	0	Sex	M4	5	1.0	0.00035221036523590005	0.0045903124846518	0.0042381021194159	0.00035221036523590005
110	distilbert/distilgpt2	Female vs Male	0	Sex	M5	1	0.1111111111111111	-0.002540118837108196	0.3806604739382035	0.3832005927753117	-0.002540118837108196
111	distilbert/distilgpt2	Female vs Male	0	Sex	M5	2	0.2222222222222222	-0.001400555319075166	0.35487271385823577	0.356273269177311	-0.0014005553190752362
112	distilbert/distilgpt2	Female vs Male	0	Sex	M5	3	0.1111111111111111	-0.0019263874669882568	0.35665900652626686	0.35858539399325506	-0.0019263874669881997
113	distilbert/distilgpt2	Female vs Male	0	Sex	M5	4	1.0	0.003955803229473496	0.29581282553651056	0.2918570223070371	0.003955803229473476
114	distilbert/distilgpt2	Female vs Male	0	Sex	M5	5	0.8888888888888888	0.0007408059189199802	0.3999833798605121	0.39924257394159207	0.0007408059189200067
115	distilbert/distilgpt2	Female vs Male	0	Sex	M6	1	0.0	-0.0034853904341746733	0.40650467393321116	0.40999006436738583	-0.0034853904341746733
116	distilbert/distilgpt2	Female vs Male	0	Sex	M6	2	0.0	-0.0030752125686766235	0.3828901206850008	0.3859653332536774	-0.0030752125686765996
117	distilbert/distilgpt2	Female vs Male	0	Sex	M6	3	0.0	-0.0026091608659563775	0.39909089550201315	0.40170005636796946	-0.002609160865956306
118	distilbert/distilgpt2	Female vs Male	0	Sex	M6	4	0.8571428571428571	0.0036713137856817435	0.31093905726447696	0.30726774347879526	0.0036713137856816958
119	distilbert/distilgpt2	Female vs Male	0	Sex	M6	5	0.8571428571428571	0.0006201080312686545	0.45211956481216475	0.45149945678089604	0.0006201080312687179
120	distilbert/distilgpt2	Female vs Male	0	Sex	M7	1	0.25	0.00042710056489644703	0.2796764840434965	0.2792493834786	0.0004271005648964765
121	distilbert/distilgpt2	Female vs Male	0	Sex	M7	2	0.3333333333333333	-0.001317798218224216	0.28277300867072575	0.28409080688894994	-0.0013177982182241976
122	distilbert/distilgpt2	Female vs Male	0	Sex	M7	3	0.4166666666666667	-0.0005984305244055415	0.2454116185654129	0.2460100490898184	-0.0005984305244055022
123	distilbert/distilgpt2	Female vs Male	0	Sex	M7	4	1.0	0.003060328724435134	0.214231580147801	0.21117125142336587	0.003060328724435124
124	distilbert/distilgpt2	Female vs Male	0	Sex	M7	5	0.8333333333333334	0.0004391876112397909	0.2650592474795606	0.2646200598683208	0.00043918761123978856
125	distilbert/distilgpt2	Female vs Male	0	Sex	M8	1	0.2	-0.0011281155029791933	0.3254580909788274	0.32658620648180653	-0.0011281155029791434
126	distilbert/distilgpt2	Female vs Male	0	Sex	M8	2	0.3	-0.0012158510037807012	0.29261820522833654	0.2938340562321173	-0.0012158510037807435
127	distilbert/distilgpt2	Female vs Male	0	Sex	M8	3	0.2	-0.0014627909787349954	0.2907864711135062	0.29224926209224117	-0.0014627909787349735
128	distilbert/distilgpt2	Female vs Male	0	Sex	M8	4	0.9	0.0029491066916307275	0.23793709522014977	0.23498798852851904	0.002949106691630732
129	distilbert/distilgpt2	Female vs Male	0	Sex	M8	5	0.6	-0.0002457267139107002	0.31286329760914666	0.3131090243230573	-0.0002457267139106545
130	distilbert/distilgpt2	Female vs Male	0	Sex	M9	1	0.16666666666666666	-0.002520930978183362	0.284847887066159	0.28736881804434233	-0.0025209309781833444
131	distilbert/distilgpt2	Female vs Male	0	Sex	M9	2	0.5	0.0006909529735518623	0.27708267972063066	0.27639172674707874	0.0006909529735519282
132	distilbert/distilgpt2	Female vs Male	0	Sex	M9	3	0.6666666666666666	5.418581243578531e-06	0.2642742885916505	0.2642688700104069	5.418581243588072e-06
133	distilbert/distilgpt2	Female vs Male	0	Sex	M9	4	0.8333333333333334	0.0034061824347493773	0.24223784876024482	0.23883166632549546	0.0034061824347493552
134	distilbert/distilgpt2	Female vs Male	0	Sex	M9	5	0.8333333333333334	0.0003277297073509394	0.3034657311994427	0.30313800149209175	0.0003277297073509544
135	distilbert/distilgpt2	Female vs Male	0	Violent	M3	1	0.4	0.0005882069002836887	0.3019671664573252	0.30137895955704147	0.0005882069002837165
136	distilbert/distilgpt2	Female vs Male	0	Violent	M3	2	1.0	0.0026969018130330357	0.2679957070678938	0.2652988052548607	0.002696901813033059
137	distilbert/distilgpt2	Female vs Male	0	Violent	M3	3	0.8	0.0009060028474777888	0.23850360518117664	0.23759760233369884	0.0009060028474777992
138	distilbert/distilgpt2	Female vs Male	0	Violent	M3	4	1.0	0.005399640172254308	0.25221417760476467	0.24681453743251036	0.005399640172254305
139	distilbert/distilgpt2	Female vs Male	0	Violent	M3	5	1.0	0.0012109028641134915	0.27844058801420035	0.27722968515008684	0.0012109028641135167
140	distilbert/distilgpt2	Female vs Male	0	Violent	M4	1	0.3333333333333333	-0.0017510442218432454	0.31647506876227754	0.3182261129841208	-0.0017510442218432454
141	distilbert/distilgpt2	Female vs Male	0	Violent	M4	2	0.3333333333333333	-0.00011549991419695464	0.2928595029904197	0.2929750029046166	-0.00011549991419690375
142	distilbert/distilgpt2	Female vs Male	0	Violent	M4	3	0.3333333333333333	-0.00028627801414888784	0.26538730787675985	0.2656735858909087	-0.00028627801414887744
143	distilbert/distilgpt2	Female vs Male	0	Violent	M4	4	1.0	0.004884424270130676	0.2631379615049809	0.25825353723485023	0.004884424270130694
144	distilbert/distilgpt2	Female vs Male	0	Violent	M4	5	0.3333333333333333	1.449467769512053e-05	0.29968066179814434	0.2996661671204492	1.449467769515378e-05
145	distilbert/distilgpt2	Female vs Male	0	Violent	M5	1	0.46153846153846156	0.0005818557961342314	0.2583892750374686	0.2578074192413343	0.0005818557961342896
146	distilbert/distilgpt2	Female vs Male	0	Violent	M5	2	0.6153846153846154	0.0016972101024853607	0.22755664573924148	0.2258594356367561	0.0016972101024853858
147	distilbert/distilgpt2	Female vs Male	0	Violent	M5	3	0.6153846153846154	0.0010820709861806095	0.21064777709398183	0.20956570610780123	0.0010820709861806
148	distilbert/distilgpt2	Female vs Male	0	Violent	M5	4	1.0	0.004576558430786618	0.2093077459900926	0.20473118755930603	0.004576558430786581
149	distilbert/distilgpt2	Female vs Male	0	Violent	M5	5	0.8461538461538461	0.0004087975696445789	0.36957292289186555	0.3691641253222209	0.00040879756964462555
150	distilbert/distilgpt2	Female vs Male	0	Violent	M6	1	0.5555555555555556	0.0007514183719952831	0.23487948513098264	0.23412806675898734	0.0007514183719952994
151	distilbert/distilgpt2	Female vs Male	0	Violent	M6	2	0.4444444444444444	0.0013329808069910429	0.20001208287673455	0.19867910206974349	0.0013329808069910687
152	distilbert/distilgpt2	Female vs Male	0	Violent	M6	3	0.5	0.00010296312070245265	0.18235915871223873	0.18225619559153627	0.0001029631207024595
153	distilbert/distilgpt2	Female vs Male	0	Violent	M6	4	1.0	0.0037102528569650794	0.18837674809684457	0.1846664952398795	0.0037102528569650794
154	distilbert/distilgpt2	Female vs Male	0	Violent	M6	5	0.6666666666666666	-0.00041347474648824523	0.34381941829795115	0.3442328930444394	-0.00041347474648822935
155	distilbert/distilgpt2	Female vs Male	0	Violent	M7	1	0.25	-0.0014789259876124353	0.34326558161410503	0.3447445076017175	-0.001478925987612456
156	distilbert/distilgpt2	Female vs Male	0	Violent	M7	2	0.25	0.0007639655486855121	0.3089983317440783	0.3082343661953928	0.000763965548685519
157	distilbert/distilgpt2	Female vs Male	0	Violent	M7	3	0.5	0.001292091226787315	0.28643008536528214	0.28513799413849483	0.0012920912267873064
158	distilbert/distilgpt2	Female vs Male	0	Violent	M7	4	1.0	0.004347877562395307	0.2815420655388152	0.27719418797641987	0.0043478775623953525
159	distilbert/distilgpt2	Female vs Male	0	Violent	M7	5	1.0	0.0015634591400157313	0.33244856591045385	0.33088510677043814	0.0015634591400157105
160	distilbert/distilgpt2	Female vs Male	0	Violent	M8	1	0.25	-0.002684790731791526	0.2958040943042306	0.2984888850360221	-0.0026847907317915087
161	distilbert/distilgpt2	Female vs Male	0	Violent	M8	2	0.4375	-0.00036452425459289556	0.27456620134654486	0.27493072560113774	-0.0003645242545928795
162	distilbert/distilgpt2	Female vs Male	0	Violent	M8	3	0.5625	-4.178254120291004e-05	0.2599258551346537	0.2599676376758566	-4.178254120290603e-05
163	distilbert/distilgpt2	Female vs Male	0	Violent	M8	4	0.9375	0.0037240853235971363	0.2437831800334038	0.24005909470980666	0.003724085323597137
164	distilbert/distilgpt2	Female vs Male	0	Violent	M8	5	0.6875	-3.660579022833388e-05	0.30777755434974097	0.30781416013996926	-3.660579022829458e-05
165	distilbert/distilgpt2	Female vs Male	0	Violent	M9	1	0.0	-0.00452862330712378	0.3411480615613982	0.345676684868522	-0.00452862330712378
166	distilbert/distilgpt2	Female vs Male	0	Violent	M9	2	1.0	0.0007340144657064784	0.3591801823640708	0.3584461678983643	0.0007340144657064784
167	distilbert/distilgpt2	Female vs Male	0	Violent	M9	3	1.0	0.001377380671328865	0.31736113392980764	0.3159837532584788	0.001377380671328865
168	distilbert/distilgpt2	Female vs Male	0	Violent	M9	4	1.0	0.00600928592029959	0.27983840851811687	0.2738291225978173	0.00600928592029959
169	distilbert/distilgpt2	Female vs Male	0	Violent	M9	5	1.0	0.004114099545404315	0.41825954022351647	0.41414544067811215	0.004114099545404315
170	distilbert/distilgpt2	Female vs Male	0	Weapon	M5	1	0.0	-0.003060572831600439	0.210317650649813	0.21337822348141344	-0.003060572831600439
171	distilbert/distilgpt2	Female vs Male	0	Weapon	M5	2	0.5	-0.0028098437396692766	0.19301637531816596	0.19582621905783523	-0.0028098437396692766
172	distilbert/distilgpt2	Female vs Male	0	Weapon	M5	3	0.0	-0.0014314532720618445	0.190470609934664	0.19190206320672584	-0.0014314532720618445
173	distilbert/distilgpt2	Female vs Male	0	Weapon	M5	4	0.0	-0.0002430003241897516	0.1495491668865725	0.14979216721076224	-0.0002430003241897516
174	distilbert/distilgpt2	Female vs Male	0	Weapon	M5	5	0.0	-0.0018949100049212202	0.23231049990863537	0.23420540991355657	-0.001894910004921202
175	distilbert/distilgpt2	Female vs Male	0	Weapon	M6	1	0.0	-5.933707143412903e-07	1.540363700769376e-05	1.599700772203505e-05	-5.933707143412903e-07
176	distilbert/distilgpt2	Female vs Male	0	Weapon	M6	2	1.0	2.3602115106768906e-07	6.805169050494442e-06	6.569147899426753e-06	2.3602115106768906e-07
177	distilbert/distilgpt2	Female vs Male	0	Weapon	M6	3	1.0	5.19373770657694e-08	2.8868148547189776e-06	2.834877477653208e-06	5.19373770657694e-08
178	distilbert/distilgpt2	Female vs Male	0	Weapon	M6	4	0.0	-1.0957683116430417e-07	8.563617484469432e-06	8.673194315633737e-06	-1.0957683116430417e-07
179	distilbert/distilgpt2	Female vs Male	0	Weapon	M6	5	0.0	-0.0012705363333224994	0.0037530194967985	0.005023555830121	-0.0012705363333224994
180	distilbert/distilgpt2	Female vs Male	0	Weapon	M7	1	0.2	-0.0012874069022473233	0.16220290734327136	0.1634903142455187	-0.0012874069022473233
